x,y,z,vx,vy,vz,mass,radius
150.0,150.0,0.0,0.0,0.0,0.0,1000000000000000,10
16.0464953513,3.33316070455,47.2376970931,-0.8548666536801504,0,0,1,1
12.0283431232,18.9165432404,44.6932137304,0.01649727325664152,0,0,1,1
-1.61700509682,15.6183008074,47.4705590278,-0.04610453280810045,0,0,1,1
0.386633278663,1.09224398661,49.9865733751,0.6516634273932707,0,0,1,1
-13.7634657645,13.5312376348,46.1245337995,0.6328187951252076,0,0,1,1
-14.4017097153,0.403899341114,47.8793026536,0.9816443489082132,0,0,1,1
-14.2610186748,-14.5723681147,45.6537997749,-0.19187225302375754,0,0,1,1
1.68682167985,-14.7375971783,47.7489043019,-0.5960263489924933,0,0,1,1
18.360241731,-12.8708402796,44.6905246565,-0.09978893552166723,0,0,1,1
14.7697387957,0.619485072507,-47.7647469809,0.9136473686902096,0,0,1,1
14.1786692533,-14.432322989,-45.7238820678,-0.34049521729526333,0,0,1,1
0.687087221575,-13.6073739044,-48.1078713578,-0.005013517530921829,0,0,1,1
-0.0615570415881,0.348060529168,-49.9987506304,0.5894190446399405,0,0,1,1
-12.2274012887,-14.5851430693,-46.235962836,-0.02721898675551704,0,0,1,1
-13.766142751,-0.325661371957,-48.0664878937,-0.7401198432527698,0,0,1,1
-14.0522440176,13.2590254453,-46.1165120354,0.1639251455533437,0,0,1,1
-1.28182680224,14.8582131805,-47.7241073372,0.025244796776797473,0,0,1,1
13.0770974045,16.0687960895,-45.5058602348,-0.8411963357305106,0,0,1,1
-25.6389652719,-0.308786356594,-42.9249124725,0.5882230700765287,0,0,1,1
-24.959831888,13.6495425261,-41.1180833813,-0.1929444271194236,0,0,1,1
-24.4733333227,-14.0214352641,-41.2850494636,-0.6641100321357767,0,0,1,1
-9.30517674384,-27.1286162916,-40.9567071903,-0.2821869487161237,0,0,1,1
-22.1868435437,-26.6883709657,-35.992705216,-0.3176167175322764,0,0,1,1
0.744884149967,-23.4315848564,-44.1634008962,-0.8876007382340321,0,0,1,1
10.7956946638,-27.4719154857,-40.3577357674,-0.6241790741441573,0,0,1,1
27.9305828338,-14.3249725111,-38.9188605321,0.4520926860100076,0,0,1,1
24.6047976966,-28.0416670119,-33.2906719894,0.5064311325874111,0,0,1,1
28.9081420673,1.11960484182,-40.7807038587,-0.14231955439909405,0,0,1,1
26.3568976056,16.4271814769,-39.1849672366,0.42234023274254695,0,0,1,1
9.53187572625,29.5333325711,-39.2036428459,0.24567194427898298,0,0,1,1
22.4985760482,28.8971854985,-34.0406631261,-0.8878657446882647,0,0,1,1
-3.93098551551,26.466074825,-42.2385397029,0.6725826623514151,0,0,1,1
-13.2373592454,22.409809306,-42.6916006619,-0.1446925949124338,0,0,1,1
-20.9979517225,25.8119392193,-37.3206352733,-0.3908296093130226,0,0,1,1
-35.3368741184,13.1517108867,-32.8380545753,0.12688810679937257,0,0,1,1
-31.1591887879,27.1655431001,-28.1271794206,-0.08199396066342302,0,0,1,1
-35.6829271232,-0.469635926202,-35.0215384302,-0.6655259652197423,0,0,1,1
-26.8785204665,2.51269943103,42.0860009873,-0.17278685861065357,0,0,1,1
-28.1730322572,-12.283642245,39.4384632895,-0.4141676753812027,0,0,1,1
-24.1347803309,15.2000321595,41.0666701929,-0.6118037644287238,0,0,1,1
